舞	1252
兰	1252
剑	1251
杯	1250
绕	1249
苍	1241
琴	1239
卧	1236
逐	1233
迟	1233
斜	1223
含	1218
其	1212
桃	1212
度	1207
画	1198
浪	1192
功	1189
疑	1188
珠	1188
迹	1187
学	1186
亭	1185
争	1184
倚	1183
死	1183
征	1180
往	1179
忧	1179
愿	1178
圣	1177
欢	1176
伤	1170
夫	1170
药	1169
荒	1164
令	1151
步	1151
忘	1149
解	1147
燕	1145
便	1145
师	1145
萧	1135
拂	1131
翻	1126
桂	1123
罗	1120
贵	1113
吴	1112
乘	1111
钟	1109
岩	1108
异	1107
军	1105
喜	1102
结	1102
立	1102
苔	1101
交	1100
羽	1099
易	1098
径	1096
于	1096
镜	1094
眼	1094
颜	1092
劳	1090
用	1089
惜	1085
朱	1084
化	1078
儿	1074
薄	1073
殿	1069
猿	1068
灯	1064
横	1063
定	1062
丝	1058
求	1054
锦	1052
遗	1048
力	1042
谷	1042
郎	1042
贫	1035
栖	1034
食	1034
说	1032
骑	1030
念	1029
映	1029
塞	1028
尔	1027
命	1024
臣	1024
洛	1021
荣	1021
卷	1017
著	1015
衰	1012
偏	1009
兵	1009
阙	1005
及	1004
本	1002
飘	1001
船	1001
教	995
他	995
稀	995
音	987
即	986
皇	985
啼	982
饮	980
冷	977
迎	973
感	968
斗	967
由	962
暖	961
禅	955
都	951
胡	947
侯	946
眠	946
细	940
湘	940
素	938
邻	936
轩	935
低	935
引	931
摇	930
良	927
弦	927
章	923
论	922
住	921
接	918
蓬	917
渐	913
条	912
缘	911
暂	911
报	910
帆	906
但	905
口	905
桥	898
干	895
顾	894
折	892
鬓	892
息	891
宁	890
六	889
想	889
频	886
彩	885
魂	883
钓	882
宜	879
怅	879
取	879
悬	879
梁	878
守	878
越	877
极	876
玄	875
村	875
郡	871
面	869
俗	869
持	867
沧	866
洲	866
掩	865
破	862
叹	859
杨	857
变	856
片	853
迷	850
罢	849
京	849
伴	846
许	846
户	843
目	841
冰	841
傍	838
必	831
倾	831
仍	830
齐	828
任	826
岭	825
鼓	824
鸡	822
携	822
骨	820
德	817
战	816
佳	815
诸	814
元	813
井	812
武	812
莲	812
美	808
盘	806
失	805
室	799
泥	797
幸	797
侵	795
每	794
尊	790
浦	790
内	790
观	789
枕	788
梅	787
吏	786
凝	786
根	785
惟	782
收	782
蝉	780
鸿	780
御	780
晨	780
壁	777
载	777
帘	777
莺	776
渔	775
岳	773
原	772
全	772
敢	771
土	771
八	768
府	761
床	760
积	759
宝	759
冠	758
虎	755
夏	753
赏	751
藏	747
惭	746
精	742
称	738
急	737
字	737
赋	737
阶	735
永	734
昏	732
遇	731
机	731
封	729
礼	728
众	727
兹	726
恐	726
殊	724
指	723
旌	723
性	721
举	719
斋	718
雄	716
李	716
理	712
况	710
计	709
采	709
形	708
繁	707
管	703
狂	698
兼	698
笔	695
最	695
张	695
销	691
湿	691
泛	686
闭	685
周	685
英	683
那	683
图	682
沈	679
比	677
题	677
尺	676
竟	676
把	674
雾	671
舍	669
抱	668
苑	668
业	666
旗	666
眉	666
肠	665
种	664
危	663
词	663
遂	662
银	660
渡	660
攀	660
泽	658
催	656
角	656
沉	655
句	655
盛	655
烛	654
承	654
偶	653
消	653
负	652
端	652
涯	648
旅	648
荷	646
席	646
昨	641
既	640
势	639
房	639
代	639
蜀	638
荆	638
翁	638
宵	636
遍	634
访	632
被	630
童	629
七	629
甘	628
浅	628
宴	627
凭	626
凌	626
并	625
投	623
纵	623
馆	622
象	621
肯	618
潮	617
扬	617
咏	617
乃	616
丘	616
筵	615
列	614
调	612
孙	611
粉	610
惆	608
放	607
霄	606
再	605
禽	604
哀	604
程	603
笼	603
沾	603
毛	603
鸾	601
桑	601
嗟	599
烧	598
没	598
勤	596
枯	594
津	594
扫	594
喧	592
挂	592
志	592
禁	591
涧	589
屋	588
拜	588
雷	588
丛	588
瑶	587
点	587
冥	586
途	585
艳	585
参	583
各	583
寥	582
菊	582
牛	581
